DC_NOME;SG_ESTADO;CD_SITUACAO;VL_LATITUDE;VL_LONGITUDE;VL_ALTITUDE;DT_INICIO_OPERACAO;CD_ESTACAO
SIDROLANDIA;MS;Operante;-20,98166666;-54,97194443;471,43;28/09/2008;A754
SILVA JARDIM;RJ;Operante;-22,64583333;-42,41555555;19;27/08/2015;A659
SILVANIA;GO;Operante;-16,67972221;-48,61805554;952;07/10/2010;A037
SINOP;MT;Operante;-11,98222221;-55,56611111;366,57;28/10/2006;A917
SOBRAL;CE;Pane;-3,74805555;-40,34583333;92,07;11/02/2003;A306
SOLEDADE;RS;Operante;-28,859211;-52,542387;660,44;29/02/2008;A837
SONORA;MS;Operante;-17,63527777;-54,76055555;495,25;29/11/2012;A761
SORRISO;MT;Operante;-12,555;-55,72277777;379,31;15/12/2002;A904
SOURE;PA;Operante;-0,72777777;-48,51583333;12,54;26/04/2008;A227
SURUBIM;PE;Pane;-7,83972221;-35,80111111;421,44;08/03/2008;A328
Santa Vitoria do Palmar - Barra do Chui;RS;Operante;-33,74222221;-53,37222221;7,41;07/03/2008;A899
TANGARA DA SERRA;MT;Operante;-14,65;-57,43166666;440,01;10/12/2002;A902
TAUA;CE;Pane;-6,01749999;-40,28138888;410,87;11/07/2007;A324
TAUBATE;SP;Operante;-23,04166666;-45,52083332;582,26;19/12/2006;A728
TEOFILO OTONI;MG;Operante;-17,89284;-41,515423;467,17;24/08/2006;A527
TERESINA;PI;Operante;-5,03472221;-42,80138888;75,23;23/11/2004;A312
TERESOPOLIS-PARQUE NACIONAL;RJ;Operante;-22,4486111;-42,98694444;981;31/10/2006;A618
TEUTONIA;RS;Pane;-29,44916666;-51,82333332;81;03/10/2012;A882
TIANGUA;CE;Pane;-3,73222221;-41,01194444;756;14/03/2018;A368
TIMOTEO;MG;Pane;-19,57388888;-42,62249999;493,42;21/02/2006;A511
TOME ACU;PA;Operante;-2,59249999;-48,36055555;42,95;13/10/2007;A213
TORRES;RS;Operante;-29,35027777;-49,73333333;8,44;31/05/2006;A808
TRAMANDAI;RS;Operante;-30,01027777;-50,13583333;4,56;08/03/2008;A834
TRES LAGOAS;MS;Operante;-20,79499999;-51,71333333;328,94;02/09/2001;A704
TRES MARIAS;MG;Operante;-18,200855;-45,459836;931,01;24/08/2006;A528
TRES RIOS;RJ;Operante;-22,09833333;-43,20833333;295;07/06/2016;A625
TUCUMA;PA;Pane;-6,74333333;-51,14194444;320,93;17/07/2008;A234
TUCURUI;PA;Operante;-3,82277777;-49,67499999;137,94;29/02/2008;A229
TUPA;SP;Operante;-21,927251;-50,490251;498;11/05/2017;A768
TUPANCIRETA;RS;Operante;-29,08944444;-53,82666666;462;10/08/2016;A886
TURIACU;MA;Operante;-1,66111111;-45,37249999;35,86;09/06/2008;A219
UBERABA;MG;Operante;-19,71;-47,96194444;778;18/05/2017;A568
UBERLANDIA;MG;Operante;-18,91694443;-48,25555555;874,77;17/12/2002;A507
UNA;BA;Operante;-15,28027777;-39,09138888;74,08;24/06/2008;A437
UNAI;MG;Operante;-16,55416666;-46,88194443;640,85;15/06/2007;A542
URUCARA;AM;Operante;-2,53472221;-57,75805555;18,49;16/04/2008;A124
URUCUI;PI;Operante;-7,44138888;-44,34499999;398,83;05/03/2008;A346
URUGUAIANA;RS;Operante;-29,83999999;-57,08194443;74,29;27/09/2006;A809
URUSSANGA;SC;Operante;-28,53249999;-49,31527777;40,56;28/05/2008;A814
VACARIA;RS;Operante;-28,51361111;-50,88277777;969,89;25/04/2008;A880
VALENCA;BA;Pane;-13,3436111;-39,12666666;93,12;28/06/2009;A444
VALENCA;RJ;Operante;-22,35805555;-43,69555555;370;26/09/2006;A611
VALENCA DO PIAUI;PI;Operante;-6,4236111;-41,74888888;372;17/04/2009;A363
VALPARAISO;SP;Operante;-21,31916666;-50,93027777;381,9;29/08/2007;A734
VARGINHA;MG;Operante;-21,56638888;-45,40416666;949,78;12/07/2006;A515
VENDA NOVA DO IMIGRANTE;ES;Operante;-20,38555555;-41,18999999;722;09/02/2017;A633
VENTANIA;PR;Pane;-24,28027777;-50,21027777;1093,41;14/04/2011;A872
VICOSA;MG;Operante;-20,762607;-42,864013;697,64;14/09/2005;A510
VILA BELA DA SANTISSIMA TRINDADE;MT;Operante;-15,06277777;-59,87305554;213;30/11/2006;A922
VILA VELHA;ES;Operante;-20,46694443;-40,40388888;25;14/02/2017;A634
VILHENA;RO;Operante;-12,73499999;-60,15777777;583,3;25/08/2008;A938
VITORIA;ES;Pane;-20,27083332;-40,30583333;9;30/10/2006;A612
VITORIA DA CONQUISTA;BA;Operante;-14,88638888;-40,80138888;879,38;31/05/2007;A414
XANXERE;SC;Operante;-26,938666;-52,39809;878,74;14/03/2008;A858
XINGUARA;PA;Operante;-7,11055555;-49,9261111;245;10/09/2016;A247
ZE DOCA;MA;Operante;-3,26916666;-45,65111111;45,5;17/09/2019;A255
